movie,sentence,score
교섭,솔직히 그렇게 재미있진 않았음... 인질들도 그렇게 불쌍하지도 않았고~ 왜 가지 말라는데 가고~ 뭔가 그랬어요~,4
서치 2,뒷통수 열심히 후려치는 스토리ㅋㅋㅋㅋ 집중해서 봤어요 재미있었습니다ㅋ,10
바다 탐험대 옥토넛 육지수호 대작전 : 열대우림을 지켜라!,불의고리나 대산호보호작전 같은 영화가 아니라 유튜브와 넷플릭스에서 하는 10분짜리를 볼 수 있는 4개의 편을 이어붙인 극장판이니 참고하시어 관람하세요!!!!,1
카운트,별기대 안하고 보았는데 마음 따듯한 감동실화를 보아서 좋았네요,10
교섭,더위 처먹고 영화 만들었나?왜이모양이야,2
두다다쿵: 후후섬의 비밀,4세 첫 영화관 영화인데 성공이네요^^ 갑자기 가게 되었는데 처음엔 어두어서 무서워하더니 영화가 시작되니까 안무섭다며 재밌게 잘 보았어요~! 용이 나오는 장면에서는 조금 무서웠나봐요^^ 미취학 아이들에게 딱 인것 같습니다 ??,10
카운트,좋았습니다. 우울한 영화만 보다가 오랜만에 스포츠영화를 보니.. 감동적이네요 실화바탕이라서 놀랐습니다. 개그가 참 재밌어요 눈물도 많이 났습니다,8
카운트,재밌게 봤ㅇ어요 !!!!,10
마루이 비디오,파운드 푸티지 퀄리티가 좀 아쉽다,6
"열여덟, 어른이 되는 나이","바다가 나오는 배경도 너무 좋았고, 서로 영감을 받으며 성숙해지는 모습도 감동적이였습니다",9
서치 2,준버그라고 부르지 마세요,10
서치 2,서치1보다 화려해진 편집과 이야기 구성이 좋았습니다. 쉴 새 없이 몰아쳐서 손에 땀을 쥐고 봤어요!!! 눈물도 흘리고 땀도 흘리고 난리부르스.. 제발 세상에 안본사람 없었으면 하는 영화입니다.,10
라스트 버스,아내와의 추억을 회상하는 모습과 마지막 여정을 떠나며 느끼는 감정의 연기가 훌륭했습니다,8
21 앤드 오버,이제는 미국식 유머가 웃기지 않다. 나이 들어서 그런가?,4
스마트폰을 떨어뜨렸을 뿐인데,소름....굉장히 시의적절하게 잘 만든 영화네요,10
교섭,암걸릴것같은 소재와 그것을 미화시킬려고 하는 역겨움의 콜라보인가? 쓰레기영화 만든다고 애쓴다~~~돈주고 본 흑우가 있을까 싶네,2
헤어질 결심,이 죽일 놈의 사랑...,8
서치 2,굿 올해 최고의 영화가 될 듯,10
서치 2,쉬지않고 이어지는 긴장감과몰입도가 높아 재밌게 봤다서치 3편도 나올것같다,10
카운트,감동적입니다. 실화라니 더 짠하네요,10
장사리 : 잊혀진 영웅들,큰 작전을 성공하기 위해서 희생됐던 개개인의 목숨들... 우리가 그분들이 싸웠던 그 이야기를 감히 평가할 수는 없겠지만 가족을 지키고자했던 그 마음은 시대를 넘어 전해졌다.. ,10
서치 2,영화 속도감이 장난 아니다 1편 만큼 재밌었어,10
더 퍼스트 슬램덩크,슬램덩크 옛날에 들어보기만 하고 안봤는데 영화보니까 존잼이여서 만화도 봤어요 ㅋㅋ,10
성스러운 거미,이란 사회의 어두운 면을 볼 수 있었습니다,9
서치 2,오랜만에 느껴 보는 긴장감... 스포 당하면 진짜 노잼일듯 이런건 무조건 빨리 봐야 함,10
카운트,실화바탕의 각색이면완전 코미디로만 구성하지이제 어설픈 신파는 오히려 독이 되는게 무조건임,10
담보,생각보다 재밌고 영화보고 난후에 여운이 남네요,10
저수지 게임,천민들을 만족시키기위해 더 천해져야하는 민주화.어준이와 진우가 그 상징인 건 맞아.,1
앤트맨과 와스프: 퀀텀매니아,화려하지만 재미는 없는 묘한 영화 입니다. 캐릭터도 매력적이지 않고 .. 단독은 좀 부족해 보입니다.,7
카운트,킬링타임용으로 ㄱㅊ음 ,8
서치 2,1편의 반전은 반전도 아니였습니다ㅋㅋㅋ 진짜 듣던대로 꿀잼이네요! 긴장감 제대로!!,10
더 퍼스트 슬램덩크,농구는 정말 아름다운 스포츠이다..,10
서치 2,대박사건 보는 내내 입 쩍벌리고 봤네요극장에서 안봤으면 큰일날뻔완전 추천합니다,10
카운트,기대 안하고 봤는데 재미도 있고 감동적이네요 연기자들의 맛깔나는 사투리 연기도 좋고 주인공의 감정에 공감되고 몰입되서 재밌게 봤어용,10
카운트,아들하고  재밌게봤어요~~,10
앤트맨과 와스프: 퀀텀매니아,재밌는데 아쉬운게 너무 많음,6
앤트맨과 와스프: 퀀텀매니아,프로토스vs저그..,8
앤트맨과 와스프: 퀀텀매니아,앤트맨 전에 타노스는 왜 못 죽였냐?,5
TAR 타르,엘리자베스 이후 케이트 블란쳇의 빙의한 연기,9
폴: 600미터,압도적 긴장감과 배우들의 아찔한 연기력이 아주 훌륭함. 시간가는 줄 모르고 봤네요. 오랫만에 아주 신박했음 ㅎㅎ,9
영웅,뮤지컬 영화에 획을 긋는 영화일거같습니다. 감정을 절제하는 극의 표현이 너무 좋았습니다. 조용히 같이 눈물흘리나나왔네요 최고예요,10
소울,내 안의 숨은 &amp;#34;조 가드너&amp;#34; 찾기,8
TAR 타르,연주장면이 적어서 아쉬운 하지만 끝까지 몰입하게 하는 힘이 넘침!,9
스마트폰을 떨어뜨렸을 뿐인데,최악...천우희씨가 불쌍이런 저질영화때문에영화광인 저도그냥유투브에 쏠립니다.어거지로 만들어낸 몰입력 1도없는 영화때문에천우희씨의 연기력과 그동안의 명작들마져도...이제 천우희씨 영화도 안보게되겠네요,2
교섭,이게 영화냐?한국이 한국했네.,2
더 퍼스트 슬램덩크,역시 슬램덩크 후속작을 다시 기대해본다  그런데 이항이면 지학하고  해남하고  진경기를 이기는경기로 3D화 하면 좋았는데 이미 산왕전을 1점으로 만화에서 이긴걸로 끝났는데  다시보니  좀그렇네 ㅋㅋㅋㅋ,10
카운트,간만에 재밌고 유쾌한 영화 잘 봤습니다ㅎ,10
교섭,가지 말라면 좀 가지마라. 저기가서 죽은 인간들(인질)에 대한 자세한 내용이나 감정 이입은 하고 싶지도 않고 이왕이면 시원하게 개독교 까는 영화로 만들었어야 해는데 이도저도 아닌 스텐스가 아쉽다,2
카운트,가족들끼리 보기 좋아요,10
앤트맨과 와스프: 퀀텀매니아,넘 재미없다 남편 아들 다 자네괴물 나오는 가짜 우주 싫다,1
서치 2,"전편 못지 않은 참신한 편집과 연출, 그리고 반전에 반전을 추가한 웰메이드 스릴러 무비",10
서치 2,진짜개재밌음ㅠ,10
넛잡: 땅콩 도둑들,스펀지밥을 따라하고 싶으셨나요?,4
불도저에 탄 소녀,김혜윤 연기로잘봤어요~~~~♡♡♡♡,10
앤트맨과 와스프: 퀀텀매니아,꿀잼임(참고로 디즈니 플러스에서 ‘로키’ 보세요),10
카운트,감동적이고 재밌어요 배우들의 연기가 볼만 합니다 ,10
앤트맨과 와스프,마블과 늙어가는 기분은 생각보다 굉장히 짜릿하고 뿌듯하다. 가족애는 굉장해!,10
내겐 너무 소중한 너,내용은 뻔해도 뭉클해짐,8
서치 2,연출이 좋았어요 추천해요,7
보스 베이비,"엉덩이와 엉덩이, 그리고... 엉덩이 ",4
나의 마더,괜찮은 스토리에 생각할 점이 많은 영화. 촌스럽지도 않고 좋았다,8
앤트맨과 와스프: 퀀텀매니아,너무 재미있어요 역시 믿고 보는 마블!,10
낙원의 밤,단순하고 유치하고 잔인한들 어떠하리 그것이 인생인 것을.,7
웨스트 사이드 스토리,돈 보다 시간이 아까움,1
헌트,자막 달아주면 더 좋았을듯,9
스마트폰을 떨어뜨렸을 뿐인데,데지고싶냐 ? 런닝타임 50분 까지는 재밋는데 50분부터 개 암걸린다 ,4
서치 2,"나랑 남친만 보다가 잤나노잼이던디,.;:",2
야쿠자 대 닌자,관객수는 10명인데 평점은 왤케많음,1
한산: 용의 출현,거북선이 되고 싶어요,8
스마트폰을 떨어뜨렸을 뿐인데,진짜 재미 없네요천우희 나오길래 괐던실망입니다스토리가 넘 엉성하고 현실감이 없어서 진짜별로입니다,6
카운트,잔잔한 웃음과 재미에 실화바탕이라 더 감동이네요진선규님 넘 좋아요,10
애프터썬,"부모도 결국 한 때를 통과하는 누군가일 뿐이다. 지금 내가, 그 시절 당신을 안아줄 수 있다면.",10
밀양,"이창동 감독님, 당신 덕분에 저는 무엇에도 참을 수 없게 되었고, 그 사실을 절실히 사랑합니다.",10
컨버세이션,"정말 더럽게 재미없게 재밌네..독립영화를 자주 보지 않는 나에게 필연적으로 찾아온 영화였다. 대중의 시선으로 본 이 영화는 놀랍도록 신기했다. 은영, 명숙, 다혜, 승진, 필재, 대명 이 모든 배우에게서, 심지어 잠깐 등장하는 택시기사와 혜진에게서 내가 보였다. 불편하지만 겉으로 드러내기엔 민망하고 사소하지만 꽤 자주 마주치는 감정들이 여과없이 보여졌다. 분명 찜찜하고 불편한 상황인데 내가 느끼던 불편함이 어떤것인지 명확해지니 카타르시스가 되었다. 연출한 감독도 놀라웠고 미묘한 감정과 긴장을 표현하는 배우들은 경이로웠다. 내가 제일 좋아했던 캐릭터는 김소이 배우가 연기한 명숙. ",10
놉,뭔 얘긴지 모르겠는데...,4
동감,진짜 재밌네요 제발 보세요 제발요 그냥 제발 봐주세요 제발(나만 당할 순 없지 후후훗),2
비상선언,임시완만 좋았음,3
자백,초반부 둘이 만나는 연기는 어색 그 자체 ㅋㅋㅋ국어책 읽냐?,8
자백,초반부 둘이 만나는 연기는 어색 그 자체 ㅋㅋㅋ국어책 읽냐?,8
보이스,꼭봐야하는영화 추천합니다,10
애프터썬,호캉스에는 자유이용권이 필수!,5
불릿 트레인,전체적으로 오타쿠 같음,2
스파이더맨: 노 웨이 홈,개쩌는 영화,10
앤트맨과 와스프: 퀀텀매니아,시리즈 다 안보면 이해가 잘 안됨,6
영웅,노래는 진짜 좋음..,6
TAR 타르,사적인 한 인간과 공적인 예술가로서의 괴리가 크다면 예술을 어떻게 바라봐야 할 것인가.,10
맥스,최고의 명작이다..꼭 보시길,10
카운트,재미있게 잘 봤습니다! 앤트맨은 졸면서 봤는데 이건 같은 조조인데 졸음 물리치면서 봤습니당,10
교섭,영화 대사 중: &amp;#34;왜 와서 엄한 사람 고생 시키냐?&amp;#34; 진짜 딱인 대사다. 개독들 왜 엄한 사람들 고생시키냐? 그냥 죽는게 싸게 먹히는데..,6
유랑의 달,작위적인 설정에다가 주인공이 수동적으로 반응만 하다가 사라지는 영화. 흐물거린다,2
아바타: 물의 길,"저는 아바타1을 안 보고 봤는데, 그래서 그런지 더 좋았어요. 스토리상 부족한 점은 있긴하지만 그럼에도 영상미가 너무 뛰어나서 3시간이 짧게 느껴졌어요. 그리고 수영하고 싶다는 느낌도 받았어요",8
서치 2,1도 2도 모두 꿀잼 3도 나와줘랑..,10
서치 2,1편만은 못한 속편,5
고령화 가족,배우들 연기도 너무좋고 영화에서 전체적으로 주고자 하는 메시지도 너무 좋다. 잘 만들어진 영화 같다.,10
앤트맨과 와스프: 퀀텀매니아,그래도 최근에 나온 마블 영화중에 그나마 낫다..,7
서치 2,연출이 진짜 미쳤던데 감독님들의 연출력에 큰 점수를 드립니다!!,10
앤트맨과 와스프: 퀀텀매니아,안봤지만 리뷰보니 내가 잘한것같다,1
두 여자 이야기,한국  평민 농가의  소소하고 고귀한 삶을 담은 작품,10
스마트폰을 떨어뜨렸을 뿐인데,나름 재밌게보았습니다. 스마트폰해킹의 무서움도 한번 더 느낄 수 있었네요. 평점이 넘 낮길래 10점 드립니다.,10
전국노래자랑,잔잔한 B급영화일뿐..,7
앤트맨과 와스프: 퀀텀매니아,왔떠???? 하...,1
스마트폰을 떨어뜨렸을 뿐인데,내용을 좀 더 풀어줫으면 더 좋았을듯…알아서 추측해야되는게 많아 아쉬움,6
캡틴 마블,마블 시리즈 내리막길의 첫걸음을 담당한 캐릭터...  ,2
스마트폰을 떨어뜨렸을 뿐인데,"천우희는 가만보면 작품선택하는 능력이 없는건지, 운이 없는건지‥ 왜그러냐‥ 아니 물속에 10분넘게 잠겨있었는데 데미지1도없이 둘다 살아난다고?? 뭐여 인어 가족이여?? 기네스북에 도전해봐라",2
카운트,무어라 단정지을 수 없을만큼  감동이네요올해 50 이된 저의 인생영화네요많은분들이 꼭~~~많은 감동받으셨음 좋겠어요연기자분들 정말 고맙습니다^^,10
카운트,생각보다 재미있고 뭉클하고 따스했어요억지로 우끼지도 않아서 좋네요이런 좋은 영화 많이들 보시기 바래요,10
교섭,이 말도 안되는 종교 선교 활동때문에 수백억이 낭비된 사건,1
카운트,별 생각없이 아무런 정보도없이 진선규 나온다는것만 알고 보러간 영화!!!와 이 영화 대박 스토리 탄탄하고 감동 코믹 등 옛날 감성도 느껴지고 근래에 본 영화중 단연 최고입니다  너무 행복해집니다 보고난후 따뜻해집니다 ㅜㅜ,10
카운트,아들하고 봤는데요..너무 재밌어요^^젊은 친구들이 보면 좋을거 같아요,10
치히로 상,잔잔하다 잔잔해  눈물이 왜 났는지,10
스마트폰을 떨어뜨렸을 뿐인데,시간 아까움 개연성 떨어지고 노잼,4
TAR 타르,케이트 블란쳇의 원맨쇼,8
스마트폰을 떨어뜨렸을 뿐인데,천우희가 아까운 영화…,2
461개의 도시락,가족 모두가 웃었던 시절로 현재의 갈등을 풀었음. 소리를 지르고 웃고 장난도 치고. 특히 아빠의 공간에 아들이 들어온. 같이 노래를 부르며 맺는 결말이 심히 감동임.,10
서치 2,구글과 애플만 있다면 어디든 갈 수 있어,10
블랙 팬서: 와칸다 포에버,"이정도일줄 몰랐는데, 최악이네요. 주인공이 빈약하고 스토리도 지루합니드. ",1
카운트,따뜻해요~??알지만 염두에 두고 살기 쉽지 않은 것들을새삼 깨워주는 영화였습니다.,10
카운트,진선규 볼려고 영화를 봤는데역대급 휴먼영화를 봐버렸다....,10
앤트맨과 와스프,스캇 연기 잘하고 귀여움. 땅콩이랑 케미가 넘 좋고 사랑스러움 ㅠㅠ ,10
서치 2,스릴 넘치고 반전의 반전이 소오름,10
카운트,영화보는이유가 가볍게힐링하려고 보는데 그에 적합한 영화였다,10
메간,너무 예쁘게 잘 만들어진 인형이 냉소와 유머로 허물어뜨리는 호러의 경계,9
브이 포 벤데타,오랜만에 의미있은 영화봤어요!!,10
앤트맨과 와스프: 퀀텀매니아,재밌게 볼만했습니당ㅎㅎ,10
서치 2,생각보다 훨씬 재밌었어요 스토리가 굉장히 탄탄해요,10
스마트폰을 떨어뜨렸을 뿐인데,너무 재미있게 봤어요. 현대사회에 꼭 필요한 영화라 생각됩니다. 15세 등급이지만 일부 잔인한 부분 편집해서 교육용으로 추천하고 싶어요. 평점이 너무 박하네요. ,10
더 퍼스트 슬램덩크,ㄹㅇㅋㅋ 진짜 이게 낭만이고 인생이지,10
서치 2,진심 월메이드영화 잘만듦,8
서치 2,1만큼 재밌어요!! 또 볼 예정입니다ㅎ,10
스파이더맨: 뉴 유니버스,어메이징이 못한 힙한 10대 스파이더맨 너무 표현 잘함활공씬도 마블 스파이더맨보다 훨씬 좋음,8
카운트,재미와 감동 모두 잡은 영화!! 배우들의 연기력이 빛난 영화!! 강추입니다,10
림 오브 더 월드,초반에 눈치 챘다.. 흥미를 급 잃었다..모든게 여름캠프 라는걸..너무 대놓고 나오는 힌트 라던가...댓글보니 진짜로 착각하시는분들이 많은데혹시 눈치 못챈 분을 위해 잠깐 설명 드리자면림 오브 더 월드라는 리얼 체험 여름 캠프 입니다.올해 주제가 외계인 침공에서 지구구하기이고마지막 장면쯤 나오는 내년에 또 와야지 대사에서 완벽히 알수 있음..,4
브로커,"기대가 많았는데, 생각보다 너무 잔잔하다.내용이 잔잔한게 아니고, 맘에 와닿기에 너무 잔잔한 감동..상받은 송강호 연기를 기대했는데, 전작들에 비해 엄청 특출난연기인지 모르겠는..그냥 항상 믿고보는 연기 고요..생각외로 아이유 욕하는 연기는 좀 놀라면서 봤어요.아기랑 아역배우가 넘 귀엽.",7
앤트맨과 와스프: 퀀텀매니아,별 기대없이 봐서 그런가 킬링타임용으로 그냥저냥 볼 만함,7
카운트,"사람마다 생각이 다르겠지만 전 너무 재미있게 봤습니다.특히 억지로 쏟아내는 사투리는 정말 듣기싫은데 배우들의 사투리연기 너무 좋았습니다.허무맹랑 SF적인요소가 많은 영화보다는가족적이며 또한 감동,재미가 있는 이런 영화를 오랜만에 시청했었기에 저는 너무 잘봐서 그런지 오히려 상영관에 사람이 얼마없는게 이상하게 느껴지기까지 했던것 같아요.ㅎㅎ",10
페일 블루 아이,간만에 몰입감.. 삶에 대한 생각을 다시하게하는 영화.. 어쩌면 요즘 시대에 모두가 겪는 생각일듯..,10
서치 2,처음부터 끝까지 카메라 화면과 컴퓨터 핸드폰 화면만 나오는 연출이 대박이었음,10
교섭,소재 꽝...연출 꽝...배우들의 연기가 아까워...미라클 작전을 소재로 한 영화줄 알고 봤는데.. 헐!,1
앤트맨과 와스프: 퀀텀매니아,볼 만함,5
카운트,가슴  따뜻하게 아주 재밌게 볼수있어 감사합니다  진선규님 연기는 항상 믿고볼수있는 원픽 배우님,10
바빌론,작품성과 주연들 연기력으로 멱살캐리하는 작품,10
서치 2,반전의 반전을 거듭하면서 심장이 쫄깃쫄깃해지는...,10
스마트폰을 떨어뜨렸을 뿐인데,임시완 초미녀 울면서 가는거 보고 웃는거 대박 연기 소오름 ,8
더 퍼스트 슬램덩크,슬램덩크 안봤는데도 너무 재밌게 봤습니다,10
교섭,저런 빌런들을 왜 저 개고생하면서 살릴려하냐? 지들 발로 직접갔는데 걍 죽게 냅두지,2
서치 2,연출이나 아이디어는 진짜 독보적이다 인터넷만으로 누군가를 찾는 과정이 흥미진진하고 담겨진 교훈도 의미있다,8
서치 2,전작의 장점을 충분히 잘 살려낸 영화. 엄마 찾는게 더 몰입감 쩐다....ㄷㄷㄷ,10
서치 2,긴장감이 있고 스릴 있어서 재미있게 보았습니다 1편 만큼 너무 재밌게 봤어요,10
탑건: 매버릭,5번봤었다부모님은  톰크루즈 개인적으로 안좋아해서 아직도 안보셨는데 조르고 졸라도 절대 안보시니 너무 아쉽다.,10
다음 소희,모든 사람이 이 영화에서 자유로울 수 없습니다. 영화를 보고 나오면서 더 많은 사람들이 이 영화를 보아야한다는 생각을 했어요.,10
킬링 디어,이성적인 인간은 신을 이길 수가 없다. ,8
앤트맨과 와스프: 퀀텀매니아,마블이 요즘 갈피를 못잡는 것 같다,5
스마트폰을 떨어뜨렸을 뿐인데,소재는 좋으나 인물의 행동들이 작의적임. 나쁜놈 외에 다른 인물들이 다 단순하고 멍청한 로봇같음. 시간 낭비용,2
마루이 비디오,다른것보다 연기력+ 사투맂ㄴ 어색해서 개패ㄱ시ㅍ음,2
서치 2,1 보다 더 트랜디해지고 스릴감이 더 업그레이드 됨,10
더 퍼스트 슬램덩크,다 알고 보는 건데도 심장이 뛰네요. 생각 이상으로.,10
교섭,"(한줄평)A급 배우들과  B급 감독(제작진)이 만났을때.(세부평)흥행보증수표인 황정민, 현빈. 그리고 왠만해선 실패하지않는 장르인 액션테러물. 거기에 해외로케이션 촬영인데.B급 감독과 제작진의 시나리오, 연출, 촬영기법, 특수효과, 편집 등 아무리 연기잘하는 흥행수표 배우들이 주연을 맡아도 감독이 형편없으면 이런 작품이 나온다.",2
서치 2,소셜미디어를 활용한 긴장감 넘치는 미스터리 영화였어요 반전이 장난 아닙니다,10
연애 빠진 로맨스,연애빠진 로맨스.영화는 이렇게 만들어야 한다.남얘기 같으면서 정작 내 얘기같은 그런 느낌. 여주 진종서 너무 매력적이다.영회속 캐릭터인지 실제 모습인진 몰라도 사랑하고 싶은 여성 상이다. 알콩달콩 청춘 남녀의 얘길  19금 토크로 재미있게 풀어 나갔다.박우리 함자영 홧팅!,10
교섭,황정민 빼면 별루ㆍ 영화관에서 가족끼리 봤지만 그냥 스케일에 비해 별로였던ㆍ그래서 리뷰도 늦게ㆍㅈㆍ,6
서치 2,시간 진짜 금방 지나감ㅜㅜ 그 정도로 몰입감 긴장감은 진짜 인정,10
메간,사탄의 인형 이후 오랜만에 나오는 인형 소재 공포영화...뻔한지만 그래도 볼만함...속편이 기다려지네,7
아바타: 물의 길,인생최고의 영화!! 꼭 3 D로  보시길,10
카운트,올해 본 영화중 최고임ㆍ 중2인 딸이 인정,10
서치 2,기대 그 이상을 보여주었기에 만족,10
마녀를 잡아라,전체적으로 미소짓게 만드는 영화고 동화속의 환타스틱한 영상미가 뛰어나고 스릴도 있고 재미있네요~^^마녀역의 앤해서웨이 얼굴만 이쁜게 아니라 연기력도 뛰어나네요~ㅎㅎ아이들과 함께 보면 더 좋을것 같아요~^^ 개인적으로 마녀를 잡아라2도 나왔으면 좋겠어요~ㅎㅎ,10
"나는 내일, 어제의 너와 만난다",감동적이지만 개연성이 이상한 부분도 있어요,8
서치 2,간만에 엄청 긴장하면서 봤던 영화에요!!,10
서치 2,SNS와 앱을 통해 실종사건을 해결하는 연출이 돋보이네요 현대적이어서 더욱 몰입해서 관람한 영화가 아닐까 싶습니다,10
높은 풀 속에서,어우 이게 뭐야...증맬,1
교섭,"배우들 연기가 항상 봐오던 배역, 성격이라 그런지 색다름이 없었음..",6
교섭,영화가 팩트라면방송국놈들이 한몫했네,10
천룡팔부: 교봉전,액션만 즐기기엔 딱 좋은 영화,7
나비,생각외로 매우재미있음,10
교섭,민폐 개독들 구하느라세금을 600억이나 쓴걸 다시 떠올리니피가 거꾸로 솓는다세금으로 살려준 댓가로 그사람들한테 평생 구상권 청구해라 ,4
두다다쿵: 후후섬의 비밀,아이들도 저도 재밌게 봤습니다!,7
다음 소희,다음 소희는 없어야 하지 않을까요...?,8
서치 2,서치 시리즈 믿고 볼 거 같다,8
워크래프트: 전쟁의 서막,저 게임 1도모르는 여잔데..너무재밋어서ㅠ2탄 나오길 몇년째 기대하고잇는지몰라요ㅠ힝,10
카운트,기대 안했던 영화인데 재밌게 보고 나왔다,7
앤트맨과 와스프: 퀀텀매니아,어벤져스의 캉이 궁금하다,7
스마트폰을 떨어뜨렸을 뿐인데,기대안하고 봤는데 너무 재밌었어요 긴장감도 있었습니다ㅎ,10
더 퍼스트 슬램덩크,이걸 내가 왜 이제야 본 건지 이해가 안감.. 개재밌음,10
젠틀맨,사지말고입양하세요~반전의반전이있는영화!뻔할줄 알았지만 뻔하지많은 않았던 영화!주지훈과강아지의 연기캐미^^ 액션 코믹 감동 교훈까지 주는 영화였다!나에게는♡~ 같이 본 친구들도 넘 잼있거보고 평점낮은 이유를 모르겠다했음~,10
아바타: 물의 길,3d로 꼭 보세요.3시간을 버틸수있을까 생각했는데 3시간이 10분처럼 지났습니다.  외계행성 판도라에 다녀온기분입니다.,10
카운트,진선규라 즐겁게 본거 같아요! 오랜만에 극장 찾아 유쾌하게 봤어요~ 감동도 있고 재미도 있어요~,10
교섭,ㅋㅋㅋ이것도 영화라고,2
마루이 비디오,동물을 잔인하게 안 죽이면 공포영화를 못 만드냐?,2
킹메이커,재미있게 봤었습니다. ,7
동감,원작이 있는 줄 모르고 봤는데 영화 자체만 봤을땐 풋풋하고 아련해서 보는 맛이 있은 영화였음,10
스트레인지 월드,영화 아이디어는 괜찮았습니다만pc가 하다하다 동성애까지 가버리네요애들이랑 같이 볼 영화는 아닌것 같습니다,1
브로커,전 너무 잘보았습니다잔잔해도 영화내내 깊은울림이 있었고 많은 생각을 하게되는 정말 좋은 영화였습니다다이나믹한 영화는 아니지만 개인적으로 시간가는줄 모르고본 영화입니다 ,10
더 퍼스트 슬램덩크, 산왕전은 진짜 버릴곳이 없구나  장면장면마다 어떤대사가 나올줄 다 알고 있으니 단행본을 얼마나 본건지 주인공 고백신은 넣어줘도 됐을텐데 그거 하나 아쉽더라 강백호 시점 시작과 끝이라고 볼수있는 장면 중 하난데 원작 안본 사람들을 위해서 안넣었겠지만서도 슬램덩크 안본 눈으로 돌아가고 싶다 ,10
버즈 라이트이어,적당한 반전이 있어서 좋았습니다. 우주 여행하는 느낌도 들고 좋음,7
상견니,전개가 너무 빨라서 머릿속으로 따라가려다 대사 놓치고 그 지점부터 이해가 안되네요,1
스마트폰을 떨어뜨렸을 뿐인데,임시완 천우희 연기 너무 잘함!! 개무섭,8
다음 소희,그동안 무심했습니다. 콜센터 근무자분들께… 더구나 그자리에 계셨던 실습생 여러분… 그이름도 생소한 계약해지 방어조.. 모처럼 사회적 경종을 울려준 슬프고도 아주 멋진 영화였습니다. 시종일관 감동주신 제작진 출연진 모든분들에게 감사드립니다!!,9
앤트맨과 와스프: 퀀텀매니아,그래도 망해도 마블이니까..,8
서치 2,신박하고 잼났던~~ 연기와 연출이 엄청나다~~,10
다음 소희,현실문제 지적보고나서 많이 생각하게됨,10
카운트,^^별 기대 않고 봤는데..재미와 감동 다 느끼고와서 돈아깝지 않네요. 이런류의 영화 너무 좋아요. 흥행했으면 좋겠어요~~♡♡♡ 실화를 바탕으로 한건줄 몰랐네요.,10
더 퍼스트 슬램덩크,이것이 내가 기억하고 그리워하는 일본 만화. 명작은 영원하다.,10
자백,내가 이상한가 연기가 좋았다니... 김윤진 어색한 말투연기때매 몰입이 안되서 몇번을 보다 중단했는지. 소지섭은 그냥그냥.오히려 나나 연기가 젤 좋았고 몰입된,6
아이즈 와이드 셧,"잠깐 떠진 진실의 한쪽 눈, 당신은 감아버릴 것인가",10
앤트맨과 와스프: 퀀텀매니아,빌런을 위한 스토리에 앤트맨을 끼워맞췄을 뿐,5
더 퍼스트 슬램덩크,재밌습니다 내 인생을 걸 정도로,10
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,현 고3.. 고2때 무조건 공부만 보고 달려온 내가 참 불쌍해보인다.. 청춘은 바로 지금 이 순간인데 미래만 바라보고 달렸던 것 같다. 전교권이라고 우쭐해하는 내가 우스워진다. 가장 소중한 건 지금 이 순간을 즐기는 것. 우연히 본 짱구는 못말려 극장판이 그동안의 내 모습을 뒤돌아보게 했다. ,10
서치 2,최근 본 블록 버스터 영화 들 보다 더 재미있어요 ~예상되는 전개지만 연출 편집이 좋아서 지루하지 않게 볼 수 있었습니다 ~ 크게 잔혹한 장면이나 부담스러운 장면은 없어서 좋았습니다추천해요,9
84번가의 연인,Do it right now 현생 으로 미루다보면 아무도 아무것도 기다리지 않는다.아쉽고아름다운 인생 이었네요,10
놉,"이 영화 보실거라고요? 놉,,,",1
TAR 타르,영화 앞으로는 좀 쉽게 만들자!,6
서치 2,액션영화도 아닌것이 몰입감 긴박감 넘쳐 시간가는지 모르고 봤습니다. 반전의 반전과 가족애도 보여주면서 개취지만 서치 1도 재밌었는데 2는 두배로 잼썼습니다. 미스터리물을 좋아하시는 분은 강력히 추천합니다 꼭 보세여!,10
콰이어트 플레이스 2,3편을 어떻게 풀어갈지 기대가 되네요,7
서치 2,스피디한 전개와 흥미롭고 몰입감 있는 스토리에 시간 가는 줄 모르고 봤습니다^^,10
앤트맨과 와스프: 퀀텀매니아,빌런의 캉 역이 잘 어울린다,10
유령,감독이 전작으로 뜨고 겉멋만 잔뜩 들었구나???무슨 영화초반부터 가오만 가득… 껐다,6
타이타닉,어떤 영화를 봐도 여운이 이렇게까지 몰려온 건 처음이었어요 재개봉을 하고 처음 봤는데 정말 말로 설명하지 못할 감정들이 쏟고 치고 배우들의 연기와 외모만으로도 흥행은 이미 예견된 영화인 거 같아요 인생 영화 원탑이고 배만 보면 디카프리오와 타이타닉이 생각나요 정말 그 여운을 잊을 수 있어요 한 번만 더 극장에서 보고 싶네요 이건 극장에서 봐야 해…,10
서치 2,반전의 반전이 느껴져서 지루할 틈이 없당ㅋㅋ 다니엘 헤니도 보고 좋당ㅋㅋㅋ,10
서치 2,저 이거 스포 당하고 봤는데도 재밌게 봤어요 그냥 영화 자체가 너무 잘 만들어졌어요,10
교섭,의도와 다르게  교인들에게 쫄아가며 만든 영화. ,4
